日志：00:57:11.472 [restartedMain] INFO  o.a.catalina.core.StandardService --- Starting service [Tomcat]
日志：00:57:11.472 [restartedMain] INFO  o.a.catalina.core.StandardEngine --- Starting Servlet engine: [Apache Tomcat/10.1.28]
日志：00:57:11.492 [restartedMain] INFO  o.a.c.c.C.[Tomcat-1].[localhost].[/] --- Initializing Spring embedded WebApplicationContext
日志：00:57:11.536 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper --- HHH000204: Processing PersistenceUnitInfo [name: default]
日志：00:57:11.539 [restartedMain] INFO  o.h.c.i.RegionFactoryInitiator --- HHH000026: Second-level cache disabled
日志：00:57:11.546 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource --- HikariPool-3 - Starting...
日志：00:57:11.556 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool --- HikariPool-3 - Added connection com.mysql.cj.jdbc.ConnectionImpl@45c7de50
日志：00:57:11.556 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource --- HikariPool-3 - Start completed.
日志：00:57:11.557 [restartedMain] WARN  org.hibernate.orm.deprecation --- HHH90000025: MySQL8Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
日志：00:57:11.557 [restartedMain] WARN  org.hibernate.orm.deprecation --- HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead
日志：00:57:11.590 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator --- HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
日志：00:57:11.693 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration --- spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
日志：00:57:11.845 [restartedMain] INFO  j.o.OnlineShoppingMallApplication --- Started OnlineShoppingMallApplication in 0.65 seconds (process running for 92.479)
日志：00:57:13.776 [background-preinit] INFO  o.h.validator.internal.util.Version --- HV000001: Hibernate Validator 8.0.1.Final
